place_id	name	latitude	longitude
507	Ryslinge	55.2391	10.533
508	Ryumgaard	56.3794	10.5054
509	Sæby	57.3361	10.5104
510	Sæsing	57.3728	10.1742
511	Sale	56.3388	9.64305
513	Sandalsbjærg	57.2117	9.6764
514	Sandbjærggård	55.5107	9.41884
515	Sandkilde	57.4302	10.0867
516	Seest mølle	55.491	9.40364
517	Selde	56.7822	9.04236
518	Serridslev	55.9016	9.89949
519	Serritslev	57.3159	9.97443
520	Siem	56.0856	9.7868
521	Siem	56.8223	10.0113
522	Silkeborg	56.1712	9.54834
523	Sindal	57.487	10.1813
524	Sindbjærg	55.7969	9.55431
525	Sinddal	57.486	10.1784
526	Sjelle bro	56.4059	10.2434
527	Sjelle mark	56.2026	9.90754
528	Sjelle Skovgård	56.1988	9.90669
529	Skader	56.355	10.2097
530	Skagen	57.7287	10.5657
531	Skanderborg	56.039	9.9302
532	Skårupgård	56.2528	10.2168
533	Skejby	56.1998	10.1763
534	Skelum	56.7625	10.1933
535	Skive	56.5692	9.03276
536	Skjærum	57.4286	10.357
537	Skjelhuse	56.7829	9.8459
538	Skjelskør	55.2554	11.2955
539	Skjern	57.3329	10.2147
540	Skjødstrup	56.2635	10.3033
541	Skjoldelev	56.2324	10.0132
542	Skjørping	56.8674	9.8891
543	Skjørping Station	56.839	9.88977
546	Skørbæk	56.6819	9.72701
547	Skotrup	56.5227	9.70252
548	Skovhul	56.825	9.77327
549	Skovsbo	55.3944	10.6347
550	Skrolde	57.0208	10.1715
551	Skrolløs hede	57.3534	9.86299
552	Slotved fattiggård	57.4805	10.1578
554	Smidie	56.8629	10.1376
555	Smidstrup	55.7805	9.28303
556	Smorup	56.7856	9.63614
557	Snebjærg	56.1353	8.9051
558	Sneftrup Præstegaard	55.9859	9.87414
559	Snoldelev	55.572	12.1292
560	Søbjærg	55.012	12.4498
561	Søby Søgård	55.2948	10.3388
562	Sofiendal	56.1136	9.87999
563	Sølsted	55.0195	8.84693
564	Sønder Kjær, Melholt	57.1044	10.3632
565	Sønder Kongerslev	56.8855	10.1133
566	Sønder Os	56.214	9.00755
567	Sønder Saltum	57.2594	9.7287
568	Sønder Tranders	57.0143	9.98335
569	Sønderbeg, Rejstrup	56.5143	9.84929
570	Søndergård	56.353	10.2084
571	Sønderlev, Skallerup	57.4712	9.87325
572	Sønderup	56.5112	9.56817
573	Sønderup	56.8159	9.65124
574	Sortehøj	56.8982	9.95572
575	Sorte Mose	56.269	10.2866
576	Sortholm	56.4835	9.57199
577	Sørup Sø	57.373	10.1431
578	Spangerhede	57.4327	10.0657
579	Spentrup	56.5403	10.0371
581	Stabrand	56.3143	10.6191
582	Stadsgård	56.504	9.94979
583	Stae	57.0836	10.0886
584	Stahåt	56.3605	10.0989
585	Stempegård	57.3719	9.85551
586	Stenbæk	57.3856	9.85603
588	Stenbroen	57.3912	10.1974
589	Stenild	56.6743	9.67332
590	Stensbæk	57.4333	10.2297
591	Stenum	57.3206	9.8643
592	Stepping	55.3569	9.3581
593	Sterup	57.3123	10.1033
594	Stevnstrup	56.4327	9.94096
595	Stilling sø	56.0619	10.0109
596	Stistrup	56.7479	9.26016
597	Store Restrup	57.0087	9.77628
598	Store-Vårbjærg	55.8893	10.6035
599	Størtum	55.0226	9.4361
600	Stovhøj	57.4143	10.0757
601	Støvhus	57.3958	10.1654
602	Støvring	56.8872	9.84135
603	Støvring Hede	56.9128	9.83202
604	Strandby	56.79	9.21999
605	Strandby	57.4951	10.4945
606	Strands	56.1848	10.4885
607	Struer	56.4881	8.58665
608	Stubberup	56.7131	9.93782
609	Stubberuphus	56.8147	9.78501
610	Stubdrup	56.3542	10.1278
611	Suldrup	56.8519	9.70282
612	Sulsted	57.1543	9.96609
613	Sundby	56.8881	8.58659
615	Svejstrup	56.0714	9.83801
616	Svendstrup	57.3577	10.1232
617	Svolbjærg	56.0487	10.0805
618	Svoldrup	56.7641	9.37339
619	Svostrup	56.2241	9.66498
620	Swarris høj	56.8974	9.24848
621	Syvstykkehøjen	54.8873	11.6737
622	Taaning	56.0132	9.84694
623	Taarup	56.7855	9.31057
624	Taastrup, Herslev sogn	56.1288	9.98797
625	Tåbæk	56.3138	10.1129
626	Taftebjærg mark	55.8805	10.6083
627	Tamdrup	55.2668	9.67331
628	Taps	55.3951	9.47512
629	Tårs	57.3866	10.117
630	Tebstrup	55.973	9.87761
631	Teglgården	56.8655	9.87323
633	Tendrup	56.3124	10.3072
634	Testrup Højskole	56.0701	10.1361
635	Thisted	56.9608	8.69312
636	Tindbæk	56.4634	9.74377
637	Tindinge banke	55.5234	11.3699
638	Tinggårds bro	56.672	8.96867
639	Tise	57.2983	9.8047
640	Tjørnelunde mark	55.5194	11.3589
642	Todbjærg	56.2689	10.2066
643	Tofte	56.8468	10.2159
644	Tofthøj	56.8121	8.4089
645	Tolne church	57.4743	10.3163
646	Tønder	54.942	8.8682
647	Tornby	57.5317	9.94578
648	Tornby-Bjærg	57.536	9.97617
649	Torøhus	55.2453	9.89929
650	Tørring	55.8553	9.48543
651	Tørring	56.1126	9.75968
652	Torsager	56.3435	10.4589
653	Torsbjærg	56.5322	9.35982
654	Torslev	57.352	10.3257
655	Torsted	56.8093	9.70946
656	Torstedlund	56.8071	9.72702
657	Torup	56.8246	9.97645
658	Tovbro	57.4016	9.79687
659	Trige	56.2523	10.1445
660	Troms kirke	69.6485	18.9594
661	Tromsø	69.651	18.9554
663	True -	56.1787	10.0945
664	Trunderup	55.1926	10.5438
665	Trustrup	56.349	10.7713
666	Trydsø	56.7999	9.8183
667	Tuesgård	56.3506	10.143
668	Tustrup mark	56.4593	10.3759
669	Tveden	56.8079	9.82411
670	Tvilum	56.2516	9.68702
671	Tvingstrup	55.9119	9.92706
672	Tylstrup	57.1932	9.94805
673	Ugilt	57.4252	10.1369
674	Ugilt kirke	57.427	10.1383
675	Uglbølle	56.3058	10.4191
676	Ulsted	57.0763	10.257
677	Ulstrup	56.3965	9.79231
679	Urup	55.9497	9.77783
680	Vammen	56.5345	9.57497
681	Vangen	57.386	10.488
682	Vedslet	55.9683	10.0079
683	Vedsted	57.1601	9.70507
684	Veerst	55.5584	9.24419
685	Vejen	55.4862	9.13998
686	Vejen skov	55.484	9.10534
687	Vejle	55.7117	9.55216
688	Vejvad	56.2688	8.70436
689	Vendingshøj	56.3187	10.3079
690	Vendsyssel	57.4658	10.1797
691	Veng	56.1128	9.88317
693	Vengesø	56.1113	9.87599
694	Vester Brønderslev	57.2583	9.95093
695	Vester Hassing	57.0652	10.1201
696	Vester Nebel	55.565	9.40491
697	Vesterbølle	56.7125	9.3669
698	Vester Vugdrup	57.3832	10.1595
699	Viborg	56.4508	9.40549
700	Vidstrup	57.4994	9.94496
701	Viggerslev	55.4752	10.2172
702	Viksnæs	54.8912	11.6568
703	Vilbjærg	56.1975	8.7638
704	Vildmose	57.2133	9.81505
705	Villendrup	56.333	10.203
706	Vilsted	56.9106	9.28803
707	Vilstrup	56.434	10.1073
708	Vindblæs	56.6751	10.145
709	Vinding	56.2749	8.66181
710	Vintønden	56.7937	9.73942
711	Visborg	56.7374	10.1475
712	Vislev	55.3987	8.70807
713	Vissing	56.3662	10.0129
714	Vitrup	57.3937	9.78587
715	Vium	56.6742	8.95881
716	Viv	55.5812	9.48241
717	Vodskov	57.1094	10.0366
718	Vojens	55.2487	9.28854
719	Vojens	56.6526	8.9389
720	Vokslev	56.9665	9.68121
721	Voldum	56.3664	10.1647
722	Vollerup	57.3515	9.88919
723	Volstrup	57.3201	10.4395
724	Vonge	55.8603	9.41943
725	Vorde kirke	56.5305	9.34046
726	Vorgaard	57.2416	10.3359
727	Vorre	56.2783	10.2944
728	Vorsaa	57.2067	10.4904
729	Vosnæsgård	56.2808	10.3449
730	Vraa	57.1957	9.92684
731	Vraa	57.3567	9.94679
732	Vrejlev	57.3603	9.98329
733	Vrendsted	57.3406	9.77719
734	Vrinders	56.2424	10.4971
735	Vugdrup	57.382	10.1608
736	Wår bro	57.5109	10.0053
738	Agerskov, Bording	56.1452	9.2799
739	Ålbæk	57.5911	10.4115
740	Åle	55.8876	9.56112
741	Allerup, Varde	55.4478	8.61389
742	Amerika	41.8819	-87.6278
743	Årup	56.759	9.41644
744	Ås, Tvingstrup	55.9163	9.97233
745	Askov	55.4698	9.09812
746	Asperup	55.4822	9.90727
747	Åsted	56.7718	8.9895
748	Astrup	56.7693	9.98266
749	Bække	55.5718	9.14238
750	Bælum	56.8287	10.1161
751	Billum	55.616	8.33131
752	Bjærgby	56.8683	8.73114
753	Bode	56.478	10.3058
754	Bøffelkobbel	54.9133	9.70452
756	Bovlstrup	55.9424	10.2197
757	Brandstrup	56.3664	9.50728
758	Bredballe	55.7155	9.60583
759	Bredstrup	55.5947	9.66543
760	Brovst	57.0943	9.509
761	Brudager	55.116	10.6748
762	Charlottenlund	55.751	12.5855
763	Dalager	56.8285	9.02887
764	Dalby, Hindsholmen	55.5232	10.6516
765	Dalby-Stubdrup	56.3717	10.006
766	Døstrup	55.1182	8.80444
767	Ellund	54.7955	9.31526
768	Engesvang	56.171	9.3528
769	Fælsted	54.9808	9.50396
770	Falster	54.8162	11.9077
771	Fårbæk	56.3891	8.99743
772	Fårdrup	55.3208	11.343
773	Fårup	56.3633	9.54445
774	Finderup	55.5023	11.3091
775	Firgårde	56.0878	9.80719
776	Fjellerup	56.5089	10.5861
777	Flade, Mors	56.8909	8.79596
778	Fredbjærg, Strandby	56.8102	9.30044
780	Galtrup	56.8459	8.72426
781	Gammelby	55.5172	9.09125
782	Gjesing	55.992	10.0247
783	Glenstrup	56.5842	9.85317
784	Greve	55.5975	12.2408
785	Grønnebæk	55.3644	9.1719
786	Grynderup	56.7097	9.67191
787	Gylling	55.89	10.1699
788	Halskov	54.8021	12.0779
789	Hammerum	56.1371	9.06182
790	Haslund	56.419	10.0253
791	Havlykke	54.8328	11.4289
792	Herskind	56.1855	9.96324
793	Hesselbakke	57.4645	10.2516
