story_id	publication_info
421	JAH_II_413
422	DS_II_E_120
423	DS_II_E_186
424	DS_VI_995
425	DS_II_J_69
426	DS_II_J_47
427	DS_VII_1487
428	GKV_0_
429	Unpub_PJ_401
430	FK_0_196
431	DSnr_IV_357
432	JFm_XIII_38
433	DSnr_IV_657
434	Unpub_PJ_406
435	DS_VI_326
436	DS_III_2211
437	DS_VII_1183
438	DS_III_128
439	DS_IV_691
440	DS_V_255
441	DS_I_1341
442	DS_II_F_58
443	DS_II_F_7
444	DS_V_520
445	DS_VII_237
446	DS_V_864
447	DS_I_270
448	DS_II_F_35
449	DS_II_F_4
450	DS_IV_131
451	DS_V_855
452	DS_V_42
453	DS_I_542
454	DS_I_1051
455	DS_VII_129
456	DS_VII_143
457	DS_II_A_17
458	DS_II_C_25
459	DS_IV_1705
460	DS_III_1238
461	DS_V_482
462	DS_IV_1777
463	DS_I_832
464	DS_I_860
465	DS_II_G_334
466	DS_IV_1695
467	DS_V_1390
468	DS_V_1026
469	DS_V_146
470	DS_V_1106
471	DS_II_D_73
472	DS_V_972
473	DS_II_G_106
474	DS_IV_1343
475	DS_IV_1376
476	DS_IV_1711
477	DS_V_67
478	DS_VII_336
479	DS_IV_2018
480	DS_V_359
481	DS_IV_1307
482	DS_VI_345
483	DS_II_D_48
484	DS_IV_1594
485	DS_V_809
486	DS_VI_1199
487	DS_I_676
488	DS_II_B_29
489	DS_V_1484
490	DS_IV_1391
491	DS_II_E_163
492	DS_VI_144
494	DS_II_B_146
495	DS_VII_664
496	DS_V_49
497	DS_II_F_62
498	DS_II_A_59
499	DS_VII_592
500	DS_V_956
501	DS_IV_1467
502	DS_V_1007
503	DS_VII_128
504	DS_II_G_339
505	DS_V_62
506	DS_VI_1204
507	DS_VI_1206
508	DS_III_2440
509	DS_IV_1400
510	DS_I_44
511	DS_I_755
512	DS_VI_430
513	DS_II_D_33
514	DS_II_B_185
515	DS_V_234
516	DS_VII_588
517	DS_III_2316
518	DS_II_B_183
519	DS_VII_584
520	DS_I_1098
521	DS_II_E_136
522	DS_I_774
523	DS_VI_216
524	DS_IV_1242
525	DS_II_B_103
526	DS_III_533
527	DS_V_715
528	DS_VII_696
529	DS_IV_744
530	DS_IV_1684
531	DS_VII_119
532	DS_II_C_78
533	DS_V_1454
534	DS_III_898
535	DS_II_D_72
536	DS_III_2256
537	DS_VI_141
538	DS_II_F_1
539	DS_IV_1690
540	DS_II_D_45
541	DS_VI_33
542	DS_VI_882
543	DS_V_1507
