pers_id	pla_id	person_name	place	lat	lon	place_type	core_informant
408	894	Morten Jeppesen	Tovstrup	56.7353	8.95168	residence	0
409	855	Kristen Jepsen	Rødhus, Hune	57.2177	9.54674	residence	0
410	759	Mads Jepsen	Bredstrup	55.5947	9.66543	residence	0
411	838	Chr. Jespersen	Ø Marie	55.1438	9.01853	residence	0
412	905	Diderik Johansen	Vester Egede	55.2654	11.9643	residence	0
413	754	Marie Johansen	Bøffelkobbel	54.9133	9.70452	residence	0
414	886	Niels Johansen	Svendborg	55.0658	10.6229	residence	0
415	338	Niels Johansen	København	55.6796	12.6029	residence	0
416	749	Niels Jonsen	Bække	55.5718	9.14238	residence	0
417	803	Ane Bolette Justsdatter	Imer, Klim	57.1112	9.16663	residence	0
418	874	Anders Jørgensen	Søby	56.5307	9.11125	residence	0
419	810	Jutta Jørgensen	Kistrup, Assens	56.5207	9.41881	residence	0
420	805	Jørgen Jørgensen	Jærnelund	55.4256	8.80278	residence	0
421	341	Karl P. J. Jørgensen	Kolding	55.4919	9.49149	residence	0
422	835	Knud Jørgensen	Nørbeg	56.5389	9.82306	residence	0
423	810	S. Jørgensen	Kistrup, Assens	56.5207	9.41881	residence	0
424	892	Marie Kalmar	Tislum	57.4453	10.2667	residence	0
425	488	Hans Kirk	Rødding	56.6494	8.81116	residence	0
426	800	Jens Kjellerup	Hvidbjærg Hede	56.5669	8.92571	residence	0
427	815	Severin Kjær	Kongsted	55.2488	12.0436	residence	0
428	898	Marie Kirstine Kjærgård	Ulfborg	56.2723	8.31756	residence	0
429	738	Frederik Knudsen	Agerskov, Bording	56.1452	9.2799	residence	0
430	869	Kristen Knudsen	Skibsby	57.4833	10.0215	residence	0
431	8	Ane Marie Kristensdatter	Aarhus	56.159	10.2072	residence	0
432	452	Ane Marie Kristensdatter	Ørum	56.4841	9.62445	residence	0
433	316	Ane Sofie Kristensdatter	Jetsmark	57.2099	9.67306	residence	0
434	785	Dortea Kristensdatter	Grønnebæk	55.3644	9.1719	residence	0
435	112	Peder Justesen Kristensen	Dalby Nedre	56.6379	10.2226	residence	0
436	190	Sigurd J. Kristensen	Gjedved	55.946	9.8582	residence	0
437	857	T. Kristensen	Rønslund	55.9405	9.32256	residence	0
438	866	T. Kr. Kristensen	Skallerup, Hjørring	57.4795	9.85687	residence	0
439	904	Tellef Kristensen	Vendsted, Åbybro	57.1613	9.70719	residence	0
440	885	Maren Kristiansdatter	Sundstrup	56.6073	9.30243	residence	0
441	914	Niels Kristiansen	Vole	56.1938	9.69566	residence	0
442	412	Petrine Kristiansen	Mollerup	56.1561	9.72682	residence	0
443	763	Rasmus H. Kruse	Dalager	56.8285	9.02887	residence	0
444	784	Th. Kruse	Greve	55.5975	12.2408	residence	0
445	743	Peder Ladefoged	Årup	56.759	9.41644	residence	0
446	839	C. M. Larsen	Ommel, Ærø	54.8735	10.4898	residence	0
